0	0.00
1	0.02
2	0.11
3	0.26
4	0.43
5	0.61
6	0.81
7	1.01
8	1.21
9	1.43
10	1.64
11	1.86
12	2.11
13	2.36
14	2.59
15	2.82
16	3.07
17	3.34
18	3.58
19	3.82
20	4.08
21	4.37
22	4.62
23	4.87
24	5.13
25	5.40
26	5.66
27	5.91
28	6.19
29	6.47
30	6.76
31	6.95
32	7.22
33	7.52
34	7.81
35	8.00
36	8.28
37	8.58
38	8.90
39	9.05
40	9.32
41	9.63
42	9.97
43	10.16
44	10.34
45	10.64
46	11.01
47	11.24
48	11.44
49	11.65
50	12.01
51	12.38
52	12.50
53	12.74
54	13.00
55	13.37
56	13.67
57	13.76
58	14.00
59	14.35
60	14.74
61	14.87
62	15.11
63	15.32
64	15.75
65	16.04
66	16.14
67	16.31
68	16.69
69	17.15
70	17.25
71	17.50
72	17.65
73	18.09
74	18.50
75	18.46
76	18.70
77	18.99
78	19.46
79	19.65
80	19.72
81	19.96
82	20.50
83	20.83
84	20.84
85	21.03
86	21.31
87	21.92
88	22.03
89	22.03
90	22.29
91	22.93
92	23.22
93	23.26
94	23.24
95	23.77
96	24.29
97	24.31
98	24.35
99	24.51
100	25.22
101	25.60
102	25.52
103	25.59
104	25.85
105	26.66
106	26.92
107	26.80
108	26.85
109	27.24
110	27.84
111	28.17
112	28.06
113	28.17
114	28.49
115	29.26
116	29.43
117	29.33
118	29.43
119	29.93
120	30.50
121	30.64
122	30.60
123	30.72
124	31.14
125	31.89
126	32.00
127	31.87
128	31.87
129	32.57
130	33.16
131	33.30
132	33.14
133	33.27
134	33.77
135	34.47
136	34.59
137	34.38
138	34.45
139	35.04
140	35.73
141	36.12
142	35.80
143	35.83
144	36.24
145	37.04
146	37.45
147	37.07
148	37.12
149	37.63
150	38.29
151	38.74
152	38.37
153	38.26
154	38.82
155	39.58
156	40.03
157	39.80
158	39.64
159	40.06
160	40.85
161	41.37
162	41.02
163	40.82
164	41.43
165	42.05
166	42.68
167	42.41
168	42.14
169	42.77
170	43.36
171	43.92
172	43.89
173	43.23
174	43.92
175	44.52
176	45.27
177	45.14
178	44.81
179	45.34
180	45.80
181	46.57
182	46.47
183	46.00
184	46.57
185	46.92
186	47.82
187	47.89
188	47.12
189	47.78
190	48.21
191	49.15
192	49.22
193	48.64
194	49.26
195	49.37
196	50.26
197	50.49
198	49.77
199	50.18
200	50.56
201	51.79
202	51.79
203	50.87
204	51.60
205	51.95
206	53.03
207	52.99
208	52.43
209	52.78
210	53.19
211	54.17
212	53.80
213	53.60
214	54.38
215	54.59
216	55.40
217	55.05
218	55.05
219	55.10
220	56.04
221	56.48
222	56.26
223	56.35
224	56.79
225	57.28
226	57.77
227	57.50
228	57.59
229	57.86
230	58.78
231	58.92
232	58.41
233	59.15
234	59.34
235	60.00
236	60.05
237	59.91
238	60.34
239	60.43
240	61.01
241	61.26
242	61.16
243	61.41
244	61.60
245	62.20
246	62.35
247	62.20
248	62.96
249	63.11
250	63.26
251	63.47
252	63.72
253	63.93
254	64.19
255	64.45
254	64.09
253	63.98
252	63.72
251	63.47
250	63.31
249	62.75
248	62.90
247	62.30
246	62.45
245	62.15
244	61.46
243	61.36
242	61.21
241	61.31
240	60.82
239	60.43
238	60.15
237	59.95
236	60.05
235	59.72
234	59.20
233	59.01
232	58.41
231	58.78
230	58.46
229	57.59
228	57.55
227	57.59
226	57.59
225	56.79
224	56.70
223	56.39
222	56.44
221	56.30
220	55.40
219	55.27
218	55.22
217	55.31
216	55.05
215	54.13
214	53.80
213	53.76
212	54.38
211	53.84
210	52.54
209	52.66
208	52.58
207	53.11
206	52.58
205	51.44
204	51.52
203	51.25
202	51.68
201	50.87
200	49.96
199	50.07
198	50.37
197	50.45
196	49.33
195	48.86
194	49.18
193	49.26
192	49.04
191	48.21
190	47.40
189	47.71
188	48.03
187	47.78
186	46.95
185	46.17
184	46.20
183	46.71
182	46.64
181	45.67
180	44.81
179	44.98
178	45.21
177	45.24
176	44.17
175	43.64
174	43.79
173	43.89
172	43.95
171	42.93
170	42.56
169	42.50
168	42.71
167	42.80
166	41.64
165	40.99
164	41.37
163	41.58
162	41.49
161	40.39
160	39.80
159	39.86
158	40.08
157	39.92
156	39.15
155	38.47
154	38.63
153	38.77
152	38.71
151	37.84
150	37.20
149	37.20
148	37.32
147	37.53
146	36.52
145	35.97
144	35.95
143	36.10
142	35.97
141	35.27
140	34.78
139	34.68
138	34.82
137	34.68
136	34.04
135	33.50
134	33.45
133	33.56
132	33.45
131	32.70
130	32.17
129	32.00
128	32.29
127	32.19
126	31.49
125	31.04
124	30.82
123	31.00
122	30.84
121	30.08
120	29.64
119	29.64
118	29.70
117	29.45
116	28.70
115	28.37
114	28.40
113	28.53
112	28.04
111	27.44
110	27.14
109	27.30
108	27.18
107	26.75
106	26.11
105	25.85
104	26.03
103	25.86
102	25.32
101	24.89
100	24.57
99	24.74
98	24.47
97	24.02
96	23.56
95	23.61
94	23.49
93	23.07
92	22.52
91	22.30
90	22.48
89	21.99
88	21.66
87	21.33
86	21.33
85	21.20
84	20.64
83	20.25
82	20.22
81	20.11
80	19.66
79	19.32
78	18.99
77	19.00
76	18.74
75	18.34
74	17.95
73	17.94
72	17.77
71	17.38
70	17.01
69	16.77
68	16.71
67	16.46
66	16.04
65	15.77
64	15.57
63	15.48
62	15.03
61	14.72
60	14.48
59	14.40
58	14.00
57	13.77
56	13.43
55	13.29
54	13.15
53	12.70
52	12.45
51	12.20
50	12.10
49	11.75
48	11.44
47	11.17
46	10.99
45	10.72
44	10.42
43	10.16
42	9.95
41	9.77
40	9.44
39	9.17
38	8.92
37	8.75
36	8.40
35	8.13
34	7.92
33	7.70
32	7.38
31	7.12
30	6.90
29	6.68
28	6.36
27	6.11
26	5.89
25	5.68
24	5.39
23	5.12
22	4.89
21	4.67
20	4.40
19	4.13
18	3.89
17	3.68
16	3.42
15	3.17
14	2.93
13	2.71
12	2.46
11	2.22
10	1.98
9	1.77
8	1.52
7	1.30
6	1.10
5	0.88
4	0.67
3	0.48
2	0.31
1	0.15
STEP
0	0.00
1	0.04
2	0.16
3	0.33
4	0.52
5	0.74
6	0.95
7	1.16
8	1.40
9	1.63
10	1.86
11	2.09
12	2.34
13	2.59
14	2.81
15	3.05
16	3.31
17	3.57
18	3.79
19	4.03
20	4.29
21	4.57
22	4.79
23	5.03
24	5.29
25	5.55
26	5.77
27	6.03
28	6.27
29	6.57
30	6.81
31	7.02
32	7.27
33	7.57
34	7.81
35	8.02
36	8.28
37	8.60
38	8.83
39	9.02
40	9.28
41	9.61
42	9.84
43	10.07
44	10.29
45	10.64
46	10.95
47	11.10
48	11.33
49	11.61
50	11.99
51	12.14
52	12.38
53	12.56
54	12.90
55	13.25
56	13.41
57	13.60
58	13.86
59	14.25
60	14.50
61	14.59
62	14.86
63	15.19
64	15.56
65	15.68
66	15.89
67	16.11
68	16.63
69	16.81
70	16.99
71	17.09
72	17.43
73	17.91
74	18.03
75	18.17
76	18.39
77	18.89
78	19.15
79	19.26
80	19.43
81	19.70
82	20.23
83	20.29
84	20.43
85	20.69
86	21.17
87	21.54
88	21.58
89	21.58
90	22.07
91	22.61
92	22.54
93	22.69
94	22.83
95	23.53
96	23.77
97	23.83
98	23.91
99	24.43
100	24.84
101	25.04
102	24.93
103	25.12
104	25.86
105	26.19
106	26.14
107	26.17
108	26.40
109	27.12
110	27.45
111	27.48
112	27.43
113	27.64
114	28.47
115	28.72
116	28.76
117	28.71
118	29.06
119	29.67
120	30.04
121	29.98
122	29.82
123	30.37
124	31.01
125	31.32
126	31.07
127	31.09
128	31.59
129	32.22
130	32.56
131	32.30
132	32.41
133	32.84
134	33.71
135	33.96
136	33.50
137	33.55
138	34.00
139	34.93
140	35.28
141	34.97
142	34.86
143	35.35
144	36.15
145	36.60
146	36.20
147	36.11
148	36.55
149	37.21
150	37.90
151	37.62
152	37.36
153	37.75
154	38.48
155	39.24
156	38.91
157	38.64
158	39.07
159	39.73
160	40.35
161	40.35
162	39.84
163	40.29
164	40.92
165	41.65
166	41.62
167	41.38
168	41.73
169	42.18
170	42.78
171	42.91
172	42.51
173	42.88
174	43.34
175	44.09
176	44.15
177	43.74
178	44.09
179	44.76
180	45.55
181	45.38
182	44.99
183	45.61
184	45.91
185	46.79
186	46.96
187	46.25
188	46.76
189	47.24
190	48.05
191	48.23
192	47.63
193	47.94
194	48.30
195	49.20
196	49.46
197	48.80
198	49.13
199	49.42
200	50.66
201	50.66
202	49.79
203	50.58
204	50.92
205	51.93
206	51.46
207	51.39
208	51.85
209	52.37
210	53.09
211	52.65
212	52.85
213	52.93
214	53.54
215	54.20
216	53.99
217	54.03
218	54.24
